1.wav|otig is der weg, wss fihrt in stedtel arein.|otig is der weg, wss fihrt in stedtel arein.
2024.wav|un euf di bleter fun di blihende beumer fr der thir hot sich noch der nacht-teu eufgehalten.|un euf di bleter fun di blihende beumer fr der thir hot sich noch der nacht-teu eufgehalten.
2025.wav|nor di schul is nebch gestanen wisst, churbn, un rumgezeumt mit breter, kbr fun a schul.|nor di schul is nebch gestanen wisst, churbn, un rumgezeumt mit breter, kbr fun a schul.
2026.wav|un di einzige wnd, woss is noch stehn gebliben noch der schrfhi' chussl erbi, mzbh eu- schul.|un di einzige wnd, woss is noch stehn gebliben noch der schrfhi' chussl erbi, mzbh eu- schul.
2027.wav|un iuden geh'nn durch, krechzen un gehen dwnen in biss hmdrsch arein.|un iuden geh'nn durch, krechzen un gehen dwnen in biss hmdrsch arein.
2028.wav|in birn-hmdrsch hot men scheun gedwent.|in birn-hmdrsch hot men scheun gedwent.
2029.wav|der schul-chsn hot sich.ongegreit neie stiklach fr'n eulm, woss kumt zum rbi'n.|der schul-chsn hot sich.ongegreit neie stiklach fr'n eulm, woss kumt zum rbi'n.
2030.wav|der chsn, rum di mschurrim, di iunglch, di kwitscherlch, woss gnz iohr tuen sei sich in di gassen rumwalgeren, keiner kukt nischt euf sei, heint mit ein mol seinen sei greuss geworen, mchen frehlch, mchen weinen dem eulm, un trogen seier gebet in himel arein.|der chsn, rum di mschurrim, di iunglch, di kwitscherlch, woss gnz iohr tuen sei sich in di gassen rumwalgeren, keiner kukt nischt euf sei, heint mit ein mol seinen sei greuss geworen, mchen frehlch, mchen weinen dem eulm, un trogen seier gebet in himel arein.
2031.wav|bei der thir stehen di mbinim, der hentschke.-macher mit'n gescheuren berdel un chbrh, un kritikiren, d.rehen mit di nes fun zeit zu zeit, topen mit di fiss, ferhalten sich di eugen, un mit mol giben sei ferdreh dem kop, horben sich ein ot.|bei der thir stehen di mbinim, der hentschke.-macher mit'n gescheuren berdel un chbrh, un kritikiren, d.rehen mit di nes fun zeit zu zeit, topen mit di fiss, ferhalten sich di eugen, un mit mol giben sei ferdreh dem kop, horben sich ein ot.
2032.wav|ot!|ot!
2033.wav|r' ichskl mit'n chssn seinen gekumen a bissel sper lich, nor ess psst seu fr chssn, fr chssid.|r' ichskl mit'n chssn seinen gekumen a bissel sper lich, nor ess psst seu fr chssn, fr chssid.
2034.wav|men ht ihm mchbd gewen mit mftir, weiber hoben fun der weiberscher schul arobgekukt un eingehorcht sich, wi der chssn sogt dem mftir-.|men ht ihm mchbd gewen mit mftir, weiber hoben fun der weiberscher schul arobgekukt un eingehorcht sich, wi der chssn sogt dem mftir-.
2035.wav|noch'n dwnen hot r' ichskl heimgebeten dem eulm euf kdusch.|noch'n dwnen hot r' ichskl heimgebeten dem eulm euf kdusch.
2036.wav|ale beli-hbssim hot mlchh'le ferhalten in a zweiter stub solen iberwarten di fisch bis chssidim welen kumen.|ale beli-hbssim hot mlchh'le ferhalten in a zweiter stub solen iberwarten di fisch bis chssidim welen kumen.
2037.wav|in gekumen eusr'l mit r' izchk iudel'ss un mit seiere menschen, men hot ongeheuben zu chpen, zu reissen, nischt gewusst nischt wen, nischt wu, wekgestupt di beli-hbssim (di ongehorewete, iuden seinen einzigweis ntrinen geworen.) chssidim hoben a greuss geruder gemacht, le in einess, iung un alt, gestupt, gesteussen sich,|in gekumen eusr'l mit r' izchk iudel'ss un mit seiere menschen, men hot ongeheuben zu chpen, zu reissen, nischt gewusst nischt wen, nischt wu, wekgestupt di beli-hbssim (di ongehorewete, iuden seinen einzigweis ntrinen geworen.) chssidim hoben a greuss geruder gemacht, le in einess, iung un alt, gestupt, gesteussen sich,
2038.wav|eusszihendik di hend gechapt woss men hot derlangt zum tisch.|eusszihendik di hend gechapt woss men hot derlangt zum tisch.
2039.wav|mlchh'le hot gor gekwolen fun nchss: in ihr stub chssidim, lmdnim, wi ess lebt, r' ichskl is lein euch a chssid geworen.|mlchh'le hot gor gekwolen fun nchss: in ihr stub chssidim, lmdnim, wi ess lebt, r' ichskl is lein euch a chssid geworen.
2040.wav|chssidim h ben ihm gechpt in kon arein, geklapt ihm in di pleizess.|chssidim h ben ihm gechpt in kon arein, geklapt ihm in di pleizess.
2041.wav|men hot ongeheuben zu singen, ess is frehlich geworen.|men hot ongeheuben zu singen, ess is frehlich geworen.
2042.wav|mlchh'le hot geteilt fisch.|mlchh'le hot geteilt fisch.
2043.wav|der eulm hot sich gesezt zum tisch, fun di ganze stodt hot men ongeheuben zu brengen far'n chssn.kugel: di mme schikt kugel fr'n chssn hoben di meidlech ieesogt, reinbrengendik epess in a teler, festelt mit a zweimen un mit a sserwetel rumgehilt.|der eulm hot sich gesezt zum tisch, fun di ganze stodt hot men ongeheuben zu brengen far'n chssn.kugel: di mme schikt kugel fr'n chssn hoben di meidlech ieesogt, reinbrengendik epess in a teler, festelt mit a zweimen un mit a sserwetel rumgehilt.
2044.wav|a schehnem dank, sogt di mame, m ireh hschm, as dein 'chssn wet sizen beim tisch, wet men mit flaschen wein obschiken hot geklungen di ntwort fun der bel-hbiss'te.|a schehnem dank, sogt di mame, m ireh hschm, as dein 'chssn wet sizen beim tisch, wet men mit flaschen wein obschiken hot geklungen di ntwort fun der bel-hbiss'te.
2045.wav|der tisch is geworen ferstelt mit ferschiedene kuglen, un leut di ksslen hot men derkent di bel-hbiss'te fun dem kugel.|der tisch is geworen ferstelt mit ferschiedene kuglen, un leut di ksslen hot men derkent di bel-hbiss'te fun dem kugel.
2046.wav|a bel-hbiss'ischer lokschen kugel fun an alten bel-hbiss, woss fihrt sich euf'n alten steiger.|a bel-hbiss'ischer lokschen kugel fun an alten bel-hbiss, woss fihrt sich euf'n alten steiger.
2047.wav|a geleigter kugel mit a ssch dosschenkess un gefilechtss fun a heintweltiger madam, a halber strodel scheun.|a geleigter kugel mit a ssch dosschenkess un gefilechtss fun a heintweltiger madam, a halber strodel scheun.
2048.wav|a truken-mehliger kugel, gut durchgepregelt mit schmalz, mit winzeig rosschenkess, nor ssch fefer fun hssidischen tisch kumt er rob.|a truken-mehliger kugel, gut durchgepregelt mit schmalz, mit winzeig rosschenkess, nor ssch fefer fun hssidischen tisch kumt er rob.
2049.wav|in der gss is lebedik, frehlich, der eulm sizt noch bei d tischen, fun teil fensster hert sich der ium-mnuchh —— teil beli-, bssim seinen eingeschlofen euf di ssdurim, bei'm benschen.|in der gss is lebedik, frehlich, der eulm sizt noch bei d tischen, fun teil fensster hert sich der ium-mnuchh —— teil beli-, bssim seinen eingeschlofen euf di ssdurim, bei'm benschen.
2050.wav|er iunger eulm, oder di chdr-iunglech, gnb'enen sich awek fun tisch, leufen reuss far'n benschen euf er gass reuss, reuf dem barg, woss is hinter der stodt, spzieren mit meidlech.|er iunger eulm, oder di chdr-iunglech, gnb'enen sich awek fun tisch, leufen reuss far'n benschen euf er gass reuss, reuf dem barg, woss is hinter der stodt, spzieren mit meidlech.
2051.wav|un der schbss is euf'n brg, doss stertil schloft sich geschmak, unter der maess frtuch di mnuchh fun schbss.|un der schbss is euf'n brg, doss stertil schloft sich geschmak, unter der maess frtuch di mnuchh fun schbss.
2052.wav|un chdriunglech hoben sich euf dem barg ferkliben, euf dem spiz barg stehen iungen un kuken durch di feussten euf'n stedtel, mrglim heisst ess, spien euss doss ort mit spaktiwen, barn-arog|un chdriunglech hoben sich euf dem barg ferkliben, euf dem spiz barg stehen iungen un kuken durch di feussten euf'n stedtel, mrglim heisst ess, spien euss doss ort mit spaktiwen, barn-arog
2053.wav|glitschen sich iudische kinder einss noch'n anderen, einss noch'n aneren, un zureiben di schbss'dige kapotkelech mit di schbss'dige stiwel.|glitschen sich iudische kinder einss noch'n anderen, einss noch'n aneren, un zureiben di schbss'dige kapotkelech mit di schbss'dige stiwel.
2054.wav|weiber gehen spazieren euf'n weg, fr'n brg, k stelen sich ob, schreien euf dem barg reuf: nchum, di schbss'die kapote!|weiber gehen spazieren euf'n weg, fr'n brg, k stelen sich ob, schreien euf dem barg reuf: nchum, di schbss'die kapote!
2055.wav|cheim, mehsst arob, du gehsst?|cheim, mehsst arob, du gehsst?
2056.wav|chbrh heren nischt un glitschen sich weier einss noch'n anderen barg arob.|chbrh heren nischt un glitschen sich weier einss noch'n anderen barg arob.
2057.wav|bald schrit a iungel: der gi meht, er rbi!|bald schrit a iungel: der gi meht, er rbi!
2058.wav|un chbrh machen plith, weit awek.|un chbrh machen plith, weit awek.
2059.wav|un dort weiss, unter'n brg, ziht sich der ugg augk, ot wein sich doss wsser'l, woss teilt doss stedtil durch, dort is di wasser-mihl, doss rod klapt in wsser, un ess patscht k dedweiten, un dort, noch der wsser-mihl, gehen biss-hmdrer bchurim weit euf'n weg spazieren.|un dort weiss, unter'n brg, ziht sich der ugg augk, ot wein sich doss wsser'l, woss teilt doss stedtil durch, dort is di wasser-mihl, doss rod klapt in wsser, un ess patscht k dedweiten, un dort, noch der wsser-mihl, gehen biss-hmdrer bchurim weit euf'n weg spazieren.
2060.wav|noch'n tisch bei d' ichskl'n.|noch'n tisch bei d' ichskl'n.
2061.wav|r' ichskl, wi der drch fun a bel hbiss um 'tbss, is runtergekrochen uter er dek, mlm'le hot euch doss selbe getun.|r' ichskl, wi der drch fun a bel hbiss um 'tbss, is runtergekrochen uter er dek, mlm'le hot euch doss selbe getun.
2062.wav|lh'le, ongetun in schbss'dig kleiel un weiss schiel, is rein in talon un, wi a heinrweltige chlh, hot si sich beim fensster nidergesezt, lesen meschh-bichel.|lh'le, ongetun in schbss'dig kleiel un weiss schiel, is rein in talon un, wi a heinrweltige chlh, hot si sich beim fensster nidergesezt, lesen meschh-bichel.
2063.wav|er hot sich iber'n ssalon gedreht hin un zurik, scheun a bissel mehr dreisster, zugeweunter.|er hot sich iber'n ssalon gedreht hin un zurik, scheun a bissel mehr dreisster, zugeweunter.
2064.wav|men hot sich gefihlt under, chotsch men hot noch kein recht uort zwischen sich nischt gehat geredt.|men hot sich gefihlt under, chotsch men hot noch kein recht uort zwischen sich nischt gehat geredt.
2065.wav|si hot weiter gelesen, un sein nueenheit hot scheun nischt gestert, nit ger schehmt ; men hot sei doch fr chssn-chlh gemcht.|si hot weiter gelesen, un sein nueenheit hot scheun nischt gestert, nit ger schehmt ; men hot sei doch fr chssn-chlh gemcht.
2066.wav|si.hot gor bscht geredt, nor gereht sich, inwenig hot epess gereht e marzen: ess is ihd, mr ihda chssn'el un si kot is hass beine trit gezehlt.|si.hot gor bscht geredt, nor gereht sich, inwenig hot epess gereht e marzen: ess is ihd, mr ihda chssn'el un si kot is hass beine trit gezehlt.
2067.wav|sei hoben ss'mol nischt gekukt euf sich, teil schl hobsch sei fun sich d eugen nischt robgenumen, msch tor den —sch?|sei hoben ss'mol nischt gekukt euf sich, teil schl hobsch sei fun sich d eugen nischt robgenumen, msch tor den —sch?
2068.wav|nor reen hoben sei nischt gehat woss zu reden, seinen sei ueigedigerheit in ub gewen.|nor reen hoben sei nischt gehat woss zu reden, seinen sei ueigedigerheit in ub gewen.
2069.wav|wil brhm'le fschr sode-wsser trinken?|wil brhm'le fschr sode-wsser trinken?
2070.wav|hot si st leg freg getun, scheun dreisster biesch|hot si st leg freg getun, scheun dreisster biesch
2071.wav|a schehnem dank, hot er ihr obgeentfert.|a schehnem dank, hot er ihr obgeentfert.
2072.wav|un ihrkul hot fr ihd ongeklungen, ihr kul, si is doch scheun mit ihm stikel spchh, woss, nein?|un ihrkul hot fr ihd ongeklungen, ihr kul, si is doch scheun mit ihm stikel spchh, woss, nein?
2073.wav|hot si ihm glos sode-wsser derlangt, fr ihm anissr nchtelt, nehenter zugerukt, hot er doss glos in der hand ger numen, un hot heuch brchh gemcht.|hot si ihm glos sode-wsser derlangt, fr ihm anissr nchtelt, nehenter zugerukt, hot er doss glos in der hand ger numen, un hot heuch brchh gemcht.
2074.wav|hot si gefihlt, wi di brchh geher sich scheun mit ihr on, hot si in der stil omn obgeent-.|hot si gefihlt, wi di brchh geher sich scheun mit ihr on, hot si in der stil omn obgeent-.
2075.wav|fert.|fert.
2076.wav|is ihr epess seu gut gewen, wi si wolt bschussfuss mt ihm di brchh gemcht.|is ihr epess seu gut gewen, wi si wolt bschussfuss mt ihm di brchh gemcht.
2077.wav|seinen sei weiter stil geworen.|seinen sei weiter stil geworen.
2078.wav|er hot sich weiter in der stub gedreht ahin un zurik.|er hot sich weiter in der stub gedreht ahin un zurik.
2079.wav|er hot ihr gewolt derzehlen' di meschh fun lowitscher bchur, fun seier biss-hmdrsch, hot er sich dermont, s si is meidel, fun wnen weisst si fun selche sben?|er hot ihr gewolt derzehlen' di meschh fun lowitscher bchur, fun seier biss-hmdrsch, hot er sich dermont, s si is meidel, fun wnen weisst si fun selche sben?
2080.wav|hot si ihm gewolt derzehlen fun ihre chbr'tess is er a iungel.|hot si ihm gewolt derzehlen fun ihre chbr'tess is er a iungel.
2081.wav|hoben sei gor nischt gehat woss zwischen sich zu reden.|hoben sei gor nischt gehat woss zwischen sich zu reden.
2082.wav|seinen sei beie stil geschwigen, nor gefihlt, s ess is sei gut in einem, epess seinen sei sich beide chssn-chlh, un weiter ptur.un un fun dreussen hot di schbss-sun durch'n ofenem fensster reingescheint, reussgegossen licht euf'n scheuben-schenkel un hot beleuchten di silberne leichter mit di gleser.|seinen sei beie stil geschwigen, nor gefihlt, s ess is sei gut in einem, epess seinen sei sich beide chssn-chlh, un weiter ptur.un un fun dreussen hot di schbss-sun durch'n ofenem fensster reingescheint, reussgegossen licht euf'n scheuben-schenkel un hot beleuchten di silberne leichter mit di gleser.
2083.wav|fun ofenem fensster, fun wanen der fuler beum bleter schokelt sich rein, hot sich gehert doss gelechter, doss rumlobessen fun di iungen, welche sizen euf der bnk fr seiere fensster, un do, un dort spzieren eussgepuzte meidlech in der gss un wrfen rein eugen in fensster un wilen chpen blik euf lh'less chssn.|fun ofenem fensster, fun wanen der fuler beum bleter schokelt sich rein, hot sich gehert doss gelechter, doss rumlobessen fun di iungen, welche sizen euf der bnk fr seiere fensster, un do, un dort spzieren eussgepuzte meidlech in der gss un wrfen rein eugen in fensster un wilen chpen blik euf lh'less chssn.
2084.wav|pluzim kumt on an onkumenisch, geleufig geschrei hilcht fun.|pluzim kumt on an onkumenisch, geleufig geschrei hilcht fun.
2085.wav|derweiten ; in der gss wert a geleuf, men chpt sich fun di bene euf, un men leuft ergez-wu in gessel arob.|derweiten ; in der gss wert a geleuf, men chpt sich fun di bene euf, un men leuft ergez-wu in gessel arob.
2086.wav|fun di reussge-' neinte leilecher, woss hengen iber di fensster, weisen sich schlof- mizen ; euf schwel un thiren weisen sich weisse sspodnizess, ke.|fun di reussge-' neinte leilecher, woss hengen iber di fensster, weisen sich schlof- mizen ; euf schwel un thiren weisen sich weisse sspodnizess, ke.
2087.wav|in ticher ferhilte, un men kukt.|in ticher ferhilte, un men kukt.
2088.wav|un doss geleufenisch, schwarze kep, weisse halkess, kinder, iunglech, meidlech, einer noch'n zweiiten ten kumen on nehenter in gessel rein.|un doss geleufenisch, schwarze kep, weisse halkess, kinder, iunglech, meidlech, einer noch'n zweiiten ten kumen on nehenter in gessel rein.
2089.wav|zuhizte iunglech, fun|zuhizte iunglech, fun
2090.wav|di fnim'lch gissen sich ngssten schweiss, kumen on foreuss zu leufen fun geleufenisch, schreiendik heuch: gechapt, gewld, men hot sei gechpt!|di fnim'lch gissen sich ngssten schweiss, kumen on foreuss zu leufen fun geleufenisch, schreiendik heuch: gechapt, gewld, men hot sei gechpt!
2091.wav|di leuh kumt on in der gss.|di leuh kumt on in der gss.
2092.wav|in miten der kepi-iger ger msse iuden un weiber fihrt men r' ichskl'ss ferdss-iung noten, eu!|in miten der kepi-iger ger msse iuden un weiber fihrt men r' ichskl'ss ferdss-iung noten, eu!
2093.wav|doss selnerische hitel untergerissen!|doss selnerische hitel untergerissen!
2094.wav|eussgerissene hor, reute, eussgerissene eueren, un wer ess hot a hand, a fuss,.|eussgerissene hor, reute, eussgerissene eueren, un wer ess hot a hand, a fuss,.
2095.wav|patscht, klapt, zupt.|patscht, klapt, zupt.
2096.wav|un er hot sich ob.gegeben a krbn tm'ewate, wi er wolt lein nischt ferstanen, woss doss is.|un er hot sich ob.gegeben a krbn tm'ewate, wi er wolt lein nischt ferstanen, woss doss is.
2097.wav|fun der zweiter seit iente'len, mlchh'less diensst.|fun der zweiter seit iente'len, mlchh'less diensst.
2098.wav|doss tuch runtergerissen, di hor zuploschet, der kaftan zurissen, si behalt doss deute pnim zwischen di reute, grobe hend.|doss tuch runtergerissen, di hor zuploschet, der kaftan zurissen, si behalt doss deute pnim zwischen di reute, grobe hend.
2099.wav|a iudine geht noch noch ihr un klapt ihr nochanand mit di feussten in kop arein: .nchss hob ich derlebt fun dir, nchss!|a iudine geht noch noch ihr un klapt ihr nochanand mit di feussten in kop arein: .nchss hob ich derlebt fun dir, nchss!
2100.wav|un men fihrt hoss por folk fr ichskl'ss fensster.|un men fihrt hoss por folk fr ichskl'ss fensster.
2101.wav|un di ganze gass in ein kul: gechpt, gewld, gechpt!|un di ganze gass in ein kul: gechpt, gewld, gechpt!
2102.wav|. r' ichskl chapt sich euf in dem schlof-rok mit di lzen un geht areuss: patschen!|. r' ichskl chapt sich euf in dem schlof-rok mit di lzen un geht areuss: patschen!
2103.wav|gewald, an ebrh!|gewald, an ebrh!
2104.wav|unser chssn chlh hoben sich fr buschh behalten, wu derfefer fefer wksst.|unser chssn chlh hoben sich fr buschh behalten, wu derfefer fefer wksst.
2105.wav|doss gessel noch'n mitog hot gelerent.|doss gessel noch'n mitog hot gelerent.
2106.wav|fun ieren fenssterseinen ndere kuluss ongekumen zuschwimen.|fun ieren fenssterseinen ndere kuluss ongekumen zuschwimen.
2107.wav|r' ichskl, wi iud bel-hbiss, hot sich pschut anidergesezt, wi sein steiger, zuerscht di ssdrh obgeleient, dernoch hoben sich ongeheuben di einiklech zuschiten, r' ichskl hot ferhert di ssdrh, di bobe hot geteilt schbss-eubss, a barne mit an epel un a hand agress, un hot gekwolen fun nchss.|r' ichskl, wi iud bel-hbiss, hot sich pschut anidergesezt, wi sein steiger, zuerscht di ssdrh obgeleient, dernoch hoben sich ongeheuben di einiklech zuschiten, r' ichskl hot ferhert di ssdrh, di bobe hot geteilt schbss-eubss, a barne mit an epel un a hand agress, un hot gekwolen fun nchss.
2108.wav|der chssn is gesessen un gelerent fun der zweiter seit misch, heuch, heuch, euf'n kul, in der langer gmr, geredt zu sich, gekriegt sich mit sich, un sich lein ibergebeten.|der chssn is gesessen un gelerent fun der zweiter seit misch, heuch, heuch, euf'n kul, in der langer gmr, geredt zu sich, gekriegt sich mit sich, un sich lein ibergebeten.
2109.wav|bald hot ersich gegeben a los awek, un ergez-wu ferblondset geworen, un woss amol sich tiefer un tiefer fertieft.|bald hot ersich gegeben a los awek, un ergez-wu ferblondset geworen, un woss amol sich tiefer un tiefer fertieft.
2110.wav|r' ichskl is ferschehmt geworen mit sein orim chusch fr der greusser gmr, f|r' ichskl is ferschehmt geworen mit sein orim chusch fr der greusser gmr, f
2111.wav|20 1|20 1
2112.wav|der heiliger gmr.|der heiliger gmr.
2113.wav|in sein stub, unter sein orimen balken kriegen sich rum selche greusse tnim bei un rb, wi schehn is doss, wi gut is doss!|in sein stub, unter sein orimen balken kriegen sich rum selche greusse tnim bei un rb, wi schehn is doss, wi gut is doss!
2114.wav|fr der thir seinen gesessen euf di stuhlen mlchh'le mit der mchussnss'te, di schnur un di tochter, in seienss, in ssmeten, in di goldene keiten, un hoben sich in di gass zugekukt zu di spazierende.|fr der thir seinen gesessen euf di stuhlen mlchh'le mit der mchussnss'te, di schnur un di tochter, in seienss, in ssmeten, in di goldene keiten, un hoben sich in di gass zugekukt zu di spazierende.
2115.wav|.un di sun ziht sich pawole mit ruhige, schbss'rige trit runter unter'n stedtel.|.un di sun ziht sich pawole mit ruhige, schbss'rige trit runter unter'n stedtel.
2116.wav|iuden gehen aheim schlsch-sseuduss essen, gehen zusmen un schmuessen zwischen sich.|iuden gehen aheim schlsch-sseuduss essen, gehen zusmen un schmuessen zwischen sich.
2117.wav|ess gehen di weiber schbss'dig ongeton mit kinderlech, kinderlech un kinderlech ohn ein-hre.|ess gehen di weiber schbss'dig ongeton mit kinderlech, kinderlech un kinderlech ohn ein-hre.
2118.wav|woss reissen di mamess bei di frticher: schbss-eubss!|woss reissen di mamess bei di frticher: schbss-eubss!
2119.wav|schbss-eubss!|schbss-eubss!
2120.wav|di weiber mchen sich nischt heren (spazierendin ruhig), un fun ofenem fensster klingt reuss dem chssn'ss kul ss macht sich breit sein weg, un fer'schbss't doss gessel ; di durchger hende stelen sich ob euf weile: der chssn lernt!|di weiber mchen sich nischt heren (spazierendin ruhig), un fun ofenem fensster klingt reuss dem chssn'ss kul ss macht sich breit sein weg, un fer'schbss't doss gessel ; di durchger hende stelen sich ob euf weile: der chssn lernt!
2121.wav|er chssn lernt!|er chssn lernt!
2122.wav|lh'le hot sich in der stil mit ihr goldene keit gespielt: ihr chssn lernt, ihrchssn.|lh'le hot sich in der stil mit ihr goldene keit gespielt: ihr chssn lernt, ihrchssn.
2123.wav|ss'is scheun finsster geworen.|ss'is scheun finsster geworen.
2124.wav|do un dort hot scheun fun di finsstere fenssterlech lichtlech ongeheuben reusszudringen un beleunten doss finssternisch woss is in stub.|do un dort hot scheun fun di finsstere fenssterlech lichtlech ongeheuben reusszudringen un beleunten doss finssternisch woss is in stub.
2125.wav|fun ganz weit kumt in gessel onzuschwimen fergessener nigun, singendik bei'm dbin'ss tisch zu schlsch-sseuduss, un schwimt durch doss gessel in an andere welt arein.|fun ganz weit kumt in gessel onzuschwimen fergessener nigun, singendik bei'm dbin'ss tisch zu schlsch-sseuduss, un schwimt durch doss gessel in an andere welt arein.
2126.wav|a benkenisch fun behaltene felder hot getuliet doss gessel.|a benkenisch fun behaltene felder hot getuliet doss gessel.
2127.wav|gewelblech hoben sich geefent, un euu nischt wu un wen nischt wen is a iudine in tuch eingehilt durch der gass durchgelofen mit stil gewein: gewld, mein mn is mir awekgefalen!|gewelblech hoben sich geefent, un euu nischt wu un wen nischt wen is a iudine in tuch eingehilt durch der gass durchgelofen mit stil gewein: gewld, mein mn is mir awekgefalen!
2128.wav|teil seinen gelofen in der pteik rein noch sode-wsser, teil zum ruf noch der wriss-flasch, un doss weiberische iudel is fun stub zu stub rumgelofen mit'n schmek-fleschele.|teil seinen gelofen in der pteik rein noch sode-wsser, teil zum ruf noch der wriss-flasch, un doss weiberische iudel is fun stub zu stub rumgelofen mit'n schmek-fleschele.
2129.wav|a schrek is durch'n stedtel durchgelofen, wi der ml hmuss wolt mit sein fliegel in euer gefochet, men hot ess mur|a schrek is durch'n stedtel durchgelofen, wi der ml hmuss wolt mit sein fliegel in euer gefochet, men hot ess mur
2130.wav|behat mit'n meul iberzu'chsr'n.|behat mit'n meul iberzu'chsr'n.
2131.wav|in harz hot ess geschnich.|in harz hot ess geschnich.
2132.wav|di ch-o-l -|di ch-o-l -
2133.wav|un di lbnh hot sich gemcht a weg zwischen di tunkele uol-|un di lbnh hot sich gemcht a weg zwischen di tunkele uol-
2134.wav|ken un is reussgeschwumen seu gut, herzlich, aseu gut-wo-|ken un is reussgeschwumen seu gut, herzlich, aseu gut-wo-
2135.wav|bendik.|bendik.
2136.wav|do un dort seinen kupkelech iuden gestanen un hoben di|do un dort seinen kupkelech iuden gestanen un hoben di
2137.wav|lbnh mchdsch gewen.|lbnh mchdsch gewen.
2138.wav|un er.gez-wu weit hoben di sschabess in wsser gekwoktsche,|un er.gez-wu weit hoben di sschabess in wsser gekwoktsche,
2139.wav|ober wer weisst sei dodt, woss doss seinen fr leit?|ober wer weisst sei dodt, woss doss seinen fr leit?
2140.wav|stedtel.|stedtel.
2141.wav|rsch chudsch lul|rsch chudsch lul
2142.wav|derweil seinen ongekumen di lul teg in stertil rein.|derweil seinen ongekumen di lul teg in stertil rein.
2143.wav|gebrengt hot sei zufihren der wolen iud, woss weist sich iedess iohr in di teg in stertil.|gebrengt hot sei zufihren der wolen iud, woss weist sich iedess iohr in di teg in stertil.
2144.wav|ein got weisst, fun wnen er in ongekumen un wer er is.|ein got weisst, fun wnen er in ongekumen un wer er is.
2145.wav|der erster winter-schlich is er gewen.|der erster winter-schlich is er gewen.
2146.wav|in di teg, wen di bel-hbiss'tess sizen fr der thir noch'n onbeissen un teilen di kinder zweierss in chdr rein, di sun besucht noch doss gessil, ober si warimt ess scheun nischt beweist er sich pluzlung, der woleniud.|in di teg, wen di bel-hbiss'tess sizen fr der thir noch'n onbeissen un teilen di kinder zweierss in chdr rein, di sun besucht noch doss gessil, ober si warimt ess scheun nischt beweist er sich pluzlung, der woleniud.
2147.wav|er hot gemust onkumen fun ergez-wu weit, wu ess mus izt 'winter sein, worum er trogt tiefe kaloschen, mit klemben wol unter'n orem, wolene soken zu striken.|er hot gemust onkumen fun ergez-wu weit, wu ess mus izt 'winter sein, worum er trogt tiefe kaloschen, mit klemben wol unter'n orem, wolene soken zu striken.
2148.wav|a kleiner, a darer is er, un trogt in di gresste hizen diken wolenem schal euf'n hals, schr fun winter, a iud mit ssud, woss der winter, dcht sich, hot ihm in stertil geschikt, onsogen epess.|a kleiner, a darer is er, un trogt in di gresste hizen diken wolenem schal euf'n hals, schr fun winter, a iud mit ssud, woss der winter, dcht sich, hot ihm in stertil geschikt, onsogen epess.
2149.wav|un derseht men ihm pluzlung in stertil, git ess klap in har zen, un ess erwekt sich hrhur tschubh.|un derseht men ihm pluzlung in stertil, git ess klap in har zen, un ess erwekt sich hrhur tschubh.
2150.wav|er ester winter-feugel.|er ester winter-feugel.
2151.wav|un noch ihm hoben sich in stedtil ongeheuben zu weisen aselche mini urchim, woss men hot sei a ganz iohr nischt gesehen, urchim mit sschiwne hit, mit lazen un kapetess, geschniten mit a schnit fun a fremd land.|un noch ihm hoben sich in stedtil ongeheuben zu weisen aselche mini urchim, woss men hot sei a ganz iohr nischt gesehen, urchim mit sschiwne hit, mit lazen un kapetess, geschniten mit a schnit fun a fremd land.
2152.wav|urchim mit peklich ziziss, mit ferschiedene kteuss, un kindersche beindlech, woss hoben zu wissen gegeben, s ergez weit-weit is fran a welt, seinen faran iuden.|urchim mit peklich ziziss, mit ferschiedene kteuss, un kindersche beindlech, woss hoben zu wissen gegeben, s ergez weit-weit is fran a welt, seinen faran iuden.
2153.wav|un der weg mit di topolen fihrt rein, fihrt reuss, unser stodt in der welt rein un fun der welt reuss.|un der weg mit di topolen fihrt rein, fihrt reuss, unser stodt in der welt rein un fun der welt reuss.
2154.wav|urchim in|urchim in
2155.wav|beidlech mit blinde issumuss, mit iuden euf klezlech, mit wisste egunuss ; iuden orentliche mit schehne berd ; nschrfim mit chssbim in di hend.|beidlech mit blinde issumuss, mit iuden euf klezlech, mit wisste egunuss ; iuden orentliche mit schehne berd ; nschrfim mit chssbim in di hend.
2156.wav|ess seinen ongekumen grim in stertil, iuden mit geu'schke pnim'er, oder geum mit iudische ssdurim'lech ; hoben derzehlt fun seiere tatess, s sei seinen grfen un generlen, un sei hoben lieb gekrogen di iudische munh, zulieb ihr less awekgeworfen, un hoben sich greusserheid gelost ml sein.|ess seinen ongekumen grim in stertil, iuden mit geu'schke pnim'er, oder geum mit iudische ssdurim'lech ; hoben derzehlt fun seiere tatess, s sei seinen grfen un generlen, un sei hoben lieb gekrogen di iudische munh, zulieb ihr less awekgeworfen, un hoben sich greusserheid gelost ml sein.
2157.wav|iuden hoben epess in harz fr sei mur gehat: iuden un doch nischt kein iuden.|iuden hoben epess in harz fr sei mur gehat: iuden un doch nischt kein iuden.
