ashtetl-1|אָטיג איז דער װעג, װאס פיהרט אין „שטעדטעל" אַרײן.|אָטיג איז דער װעג, װאס פיהרט אין „שטעדטעל" אַרײן.
ashtetl-2240|און פון דאָרטען װעהען קאַלטע װינדען.|און פון דאָרטען װעהען קאַלטע װינדען.
ashtetl-2241|אין געסעל איז טונקעל, אַלע איז אין שװאַרצע לײליכער געהילט.|אין געסעל איז טונקעל, אַלע איז אין שװאַרצע לײליכער געהילט.
ashtetl-2242|די לאָדען זײנער איבער די פענסטער פערמאַכט, און פון די לאָדען-שפּאַלטען דרינגען שטראַהלען ליכט פון די אָנגעצונדענע לעמפּעלעך אַרױס.|די לאָדען זײנער איבער די פענסטער פערמאַכט, און פון די לאָדען-שפּאַלטען דרינגען שטראַהלען ליכט פון די אָנגעצונדענע לעמפּעלעך אַרױס.
ashtetl-2243|יודען זיצען בײ דער אַרבײט שױן.|יודען זיצען בײ דער אַרבײט שױן.
ashtetl-2244|עס הערט זיך אַ קלאַפּען פון אַ שוסטער'ס אַ העמעריל אױפ'ן שוסטער-שטײן, און דאָס קלאַפּען שלאָגט אָב אין געסעל, װי עפּעס בעקאַנטעס, אײנגעבאָרענעס, װי די גריל אין אױװען...|עס הערט זיך אַ קלאַפּען פון אַ שוסטער'ס אַ העמעריל אױפ'ן שוסטער-שטײן, און דאָס קלאַפּען שלאָגט אָב אין געסעל, װי עפּעס בעקאַנטעס, אײנגעבאָרענעס, װי די גריל אין אױװען...
ashtetl-2245|און דערמאָהנט דעם עולם אָן די לאַנגע, פינסטערע װינטער-נעכט בײם װערקשטאַטיל.|און דערמאָהנט דעם עולם אָן די לאַנגע, פינסטערע װינטער-נעכט בײם װערקשטאַטיל.
ashtetl-2246|אין האַרצען קלאַפּט עס מיט שרעק : „בײ-נאַכט".|אין האַרצען קלאַפּט עס מיט שרעק : „בײ-נאַכט".
ashtetl-2247|אַרום דער שטאָדט און אין דער שטאָדט זײנען די הײזלעך פער טרונקען אין ים גרין-בעװאַקסענע בױמער שן די שטאָדט-סעדער, װאָס האָבען אין זיך דאָס שטעדטעל אַרײנגענומען און געמאַכט עס פאַר אַ גרױסען בלומען-טאָפּ.|אַרום דער שטאָדט און אין דער שטאָדט זײנען די הײזלעך פער טרונקען אין ים גרין-בעװאַקסענע בױמער שן די שטאָדט-סעדער, װאָס האָבען אין זיך דאָס שטעדטעל אַרײנגענומען און געמאַכט עס פאַר אַ גרױסען בלומען-טאָפּ.
ashtetl-2248|די בני-ישראל האָבען אין די סעער גערוהט, האָ און דאָרט האָבען פון עם טונקעען גרינס פײערל אַרױסגעשײנט, און אַ רױך טראָגט זיך פון די עתד : אַ סעדערין קאָכט אָב װעטשערע, און די ליכטלעך צװישען די טונקעלע גרעזער האָבען מיט אַ ליעבער, פרומער אימה פער'סוד'עט דאָ שטעדטעל, און אין דער שטיל געצױגען צו זיך.|די בני-ישראל האָבען אין די סעער גערוהט, האָ און דאָרט האָבען פון עם טונקעען גרינס פײערל אַרױסגעשײנט, און אַ רױך טראָגט זיך פון די עתד : אַ סעדערין קאָכט אָב װעטשערע, און די ליכטלעך צװישען די טונקעלע גרעזער האָבען מיט אַ ליעבער, פרומער אימה פער'סוד'עט דאָ שטעדטעל, און אין דער שטיל געצױגען צו זיך.
ashtetl-2249|און דאָ און דאָרט זײנען צװישען די טונקעלע גרעזער אַרױסגעפלױגען ברענענדיגע װערימלעך, װי פונקען פײער, װי פערלאָרענע נשמות...|און דאָ און דאָרט זײנען צװישען די טונקעלע גרעזער אַרױסגעפלױגען ברענענדיגע װערימלעך, װי פונקען פײער, װי פערלאָרענע נשמות...
ashtetl-2250|און גאָט'ס ועלט איז געװען װי אַ|און גאָט'ס ועלט איז געװען װי אַ
ashtetl-2251|יואָס שפּאַצירט אײנע אַלײן בײם עק|יואָס שפּאַצירט אײנע אַלײן בײם עק
ashtetl-2252|שװאַרצע—ן װעג צו.|שװאַרצע—ן װעג צו.
ashtetl-2253|דער טונקעלער, שטילער הימעל|דער טונקעלער, שטילער הימעל
ashtetl-2254|איבער'ן שטערטיל : „המפּיל שנה על עי|איבער'ן שטערטיל : „המפּיל שנה על עי
ashtetl-2255|אױף מײנע אױגען, „ותנומה על עפעפּי"|אױף מײנע אױגען, „ותנומה על עפעפּי"
ashtetl-2256|רעמען...|רעמען...
ashtetl-2257|פערליעבטע, צנועה'דינע כלה, װעג, אין געסעל אַראָב, צום האָט „קריאת-שמע" געלײענט ני" — טוט װאַרפען אַ שלאָף — און אַ דרעמעל אוּיף מײנע|פערליעבטע, צנועה'דינע כלה, װעג, אין געסעל אַראָב, צום האָט „קריאת-שמע" געלײענט ני" — טוט װאַרפען אַ שלאָף — און אַ דרעמעל אוּיף מײנע
ashtetl-2258|שלוט אַש|שלוט אַש
ashtetl-2259|נאך יום-טוב|נאך יום-טוב
ashtetl-2260|אַריבער די ימים-טובים.|אַריבער די ימים-טובים.
ashtetl-2261|דאָס שטעדטעל האָ זיך אָבגעפאַסט אַ תּענית און דערפאַר נאָך דעם געקראָגען אַ אחת-תורה.|דאָס שטעדטעל האָ זיך אָבגעפאַסט אַ תּענית און דערפאַר נאָך דעם געקראָגען אַ אחת-תורה.
ashtetl-2262|אין ער-פריה האָט נאָך אהרון ליב שוסטער מיט'ן בלינדען אױג אָנגעטון זיך פאַר אַ מערק מיט'ן טלית אױפ'ן קאָפּ, געטאַנצט אין שטעדטיל מיט'ן ספר תּורה'לע און געקלאַפּט אין טיש פון בית-מדרש מיט דער פױסט : „אונזער משה רבינו, אונזער..." האָט זיך אָבער צוגערוקט די ערשטע נאַכט פון נאָך יורטוב, אַ װינטערדיגע חשון-נאַכט...|אין ער-פריה האָט נאָך אהרון ליב שוסטער מיט'ן בלינדען אױג אָנגעטון זיך פאַר אַ מערק מיט'ן טלית אױפ'ן קאָפּ, געטאַנצט אין שטעדטיל מיט'ן ספר תּורה'לע און געקלאַפּט אין טיש פון בית-מדרש מיט דער פױסט : „אונזער משה רבינו, אונזער..." האָט זיך אָבער צוגערוקט די ערשטע נאַכט פון נאָך יורטוב, אַ װינטערדיגע חשון-נאַכט...
ashtetl-2263|אַ שטומע, געשטאָרבענע נאַכט, — קײן הײזעל, קײן ליכט.|אַ שטומע, געשטאָרבענע נאַכט, — קײן הײזעל, קײן ליכט.
ashtetl-2264|קאַר טע װינען בלאָזען און רײסען זיך אָהן אַן אָנהױב, אָהן אַ סוף.|קאַר טע װינען בלאָזען און רײסען זיך אָהן אַן אָנהױב, אָהן אַ סוף.
ashtetl-2265|דאָ און דאָרט מאָלט זיך אױס אַ שאָטען פון אַ שמעהענדיגען בױם, װעלכער בעװעגט זיך מיט אַ נאַקעטער צװײג און מאַכט אין דער נאַכט דעם אײנדרוק פון אַ גלגול פון אַ געשטאָרבענעם בױם.|דאָ און דאָרט מאָלט זיך אױס אַ שאָטען פון אַ שמעהענדיגען בױם, װעלכער בעװעגט זיך מיט אַ נאַקעטער צװײג און מאַכט אין דער נאַכט דעם אײנדרוק פון אַ גלגול פון אַ געשטאָרבענעם בױם.
ashtetl-2266|ער שאָטען מן זײנע פאַנטאַסטישע, נאַקעטע צװײגען שײדט זיך אָב און שרעקט אק ער פינסטערניש פון דער נאַכט.|ער שאָטען מן זײנע פאַנטאַסטישע, נאַקעטע צװײגען שײדט זיך אָב און שרעקט אק ער פינסטערניש פון דער נאַכט.
ashtetl-2267|אַרום און אַרום איז שטום, טױט און שװארץ.|אַרום און אַרום איז שטום, טױט און שװארץ.
ashtetl-2268|װײט אין געסעל אַראָב, דאַכט זיך, געהט פּאמעליך דער שאָען פון רחל-לאה, די געשטאָרבענע ממע.|װײט אין געסעל אַראָב, דאַכט זיך, געהט פּאמעליך דער שאָען פון רחל-לאה, די געשטאָרבענע ממע.
ashtetl-2269|זי געהט פּאַמעליך אין איהרע װײסע תּכריכים און האָרכט זיך אײן הינטער דעם לאָדען פון איהר שטוב, צי פּײניגט נישט די שטיף-מאַמע איהרע קינדער...|זי געהט פּאַמעליך אין איהרע װײסע תּכריכים און האָרכט זיך אײן הינטער דעם לאָדען פון איהר שטוב, צי פּײניגט נישט די שטיף-מאַמע איהרע קינדער...
ashtetl-2270|דאָ און דאָרט שפּיעלט זיך דער װינד אָן אַן אָבגעריסענעם בלעך אָן אַ שילד ערגעץ פאר אַ געװעלביל און קלאַט אַהין און אַהער.|דאָ און דאָרט שפּיעלט זיך דער װינד אָן אַן אָבגעריסענעם בלעך אָן אַ שילד ערגעץ פאר אַ געװעלביל און קלאַט אַהין און אַהער.
ashtetl-2271|ערגע דאָרט, אין אַ פערלאָזטער רינע, טריפען טראָפּען װאַסער, און די אָפּען קלאַפּען, בלאָנדזענדיק אין דער רינע...|ערגע דאָרט, אין אַ פערלאָזטער רינע, טריפען טראָפּען װאַסער, און די אָפּען קלאַפּען, בלאָנדזענדיק אין דער רינע...
ashtetl-2272|װײט אין געסל הערט זיך אַ רעש'ען פון אַ גרױמען-מילעריל.|װײט אין געסל הערט זיך אַ רעש'ען פון אַ גרױמען-מילעריל.
ashtetl-2273|ד גרױפּען פאַלען אױף עם רײבשטײן, און עס קלאָגט זיך, מ פּרעטענזיעס — װײסט אײן גאָט, אױף װאָס און אױף װעח..|ד גרױפּען פאַלען אױף עם רײבשטײן, און עס קלאָגט זיך, מ פּרעטענזיעס — װײסט אײן גאָט, אױף װאָס און אױף װעח..
ashtetl-2274|אַ שטעדסעל.|אַ שטעדסעל.
ashtetl-2275|אין דער טױער נעט הען ך ינזאַמע טריט, אָבלאַמענדג אָן שטײנער.|אין דער טױער נעט הען ך ינזאַמע טריט, אָבלאַמענדג אָן שטײנער.
ashtetl-2276|ש געט שײן אַ יוד מטץ לית-זעקעל אין בית-מת אַרײן תּהלים זאָנען, און אַ קאַלטער ט האָרגען" קלאַרט אין געסעל.|ש געט שײן אַ יוד מטץ לית-זעקעל אין בית-מת אַרײן תּהלים זאָנען, און אַ קאַלטער ט האָרגען" קלאַרט אין געסעל.
ashtetl-2277|פון אַ הױכען פעמער דדמ אַ ליכמעל אַרױס, װי עס װאָלט אין דער לופטען געהאַנגען, קאַ שטיל קלען מן אַ נײה-ששין צורײסט ח געמאָרבענע נעט : אַ שנירער איז אױפגעשטאַנען ש ער אַר ט.|פון אַ הױכען פעמער דדמ אַ ליכמעל אַרױס, װי עס װאָלט אין דער לופטען געהאַנגען, קאַ שטיל קלען מן אַ נײה-ששין צורײסט ח געמאָרבענע נעט : אַ שנירער איז אױפגעשטאַנען ש ער אַר ט.
ashtetl-2278|פון אַ הינטערגעעל הערט זיך אַ װאָגען שפּאַנען, און װער לױפט דאָס װע אין ער פינסטערער נאַכט אין געסעל...|פון אַ הינטערגעעל הערט זיך אַ װאָגען שפּאַנען, און װער לױפט דאָס װע אין ער פינסטערער נאַכט אין געסעל...
ashtetl-2279|די נאַכט לשט נך טרט איבער'ן שטעדעל, און דך הערט זיך שױן ש שבעי מח מעדטעל, פון אונער ער נאַט װערט עס זיך...|די נאַכט לשט נך טרט איבער'ן שטעדעל, און דך הערט זיך שױן ש שבעי מח מעדטעל, פון אונער ער נאַט װערט עס זיך...
ashtetl-2280|גרױער װערט די נעט, און דער טאָג הױבט אָן אַרױסצועעש װי דורך בעהרכע ברילען.|גרױער װערט די נעט, און דער טאָג הױבט אָן אַרױסצועעש װי דורך בעהרכע ברילען.
ashtetl-2281|עס שנײדען זיך אַרזיס פון גרױען שטח האָשנס טן מיכע הילצערנע געבײדען, און װי נײבעשאַפען נחמען זײ ערט אָן אואָ זיך פליק און בײנער..|עס שנײדען זיך אַרזיס פון גרױען שטח האָשנס טן מיכע הילצערנע געבײדען, און װי נײבעשאַפען נחמען זײ ערט אָן אואָ זיך פליק און בײנער..
ashtetl-2282|פון די פענסטער װײזש זיך „מאָרגעןליכטלעך".|פון די פענסטער װײזש זיך „מאָרגעןליכטלעך".
ashtetl-2283|אַ קאַלער װינד בױגט די דער אין געסע, און עס דאַכט זיך, אַז די הילצערנע געבײען זען זיך אױך בױגען נאָכ'ן װינד...|אַ קאַלער װינד בױגט די דער אין געסע, און עס דאַכט זיך, אַז די הילצערנע געבײען זען זיך אױך בױגען נאָכ'ן װינד...
ashtetl-2284|אין מיטען מאַרק שטעהען פּױערש פדען געשפּאַנט.|אין מיטען מאַרק שטעהען פּױערש פדען געשפּאַנט.
ashtetl-2285|יודען לױפען מיט פּעקלעך, קאַסטענס, מיט דרענגער את ברעטער.|יודען לױפען מיט פּעקלעך, קאַסטענס, מיט דרענגער את ברעטער.
ashtetl-2286|מען פאָהרט אױפ'ן מאַרק אינ'ם צװײטען שטערטיל אַרײן.|מען פאָהרט אױפ'ן מאַרק אינ'ם צװײטען שטערטיל אַרײן.
ashtetl-2287|פון געסעל קומט אָנצופאָהרען ר' משה פּעלצענמאַכער, ער פאָהרט אַרױס מיט די פּעלצעןדפעלכלעך, צו װאַשען זײ אין טײך.|פון געסעל קומט אָנצופאָהרען ר' משה פּעלצענמאַכער, ער פאָהרט אַרױס מיט די פּעלצעןדפעלכלעך, צו װאַשען זײ אין טײך.
ashtetl-2288|דער נאַכטטױ הױכט נאָך אױף זײן װאָגען.|דער נאַכטטױ הױכט נאָך אױף זײן װאָגען.
ashtetl-2289|דער הימעל װערט רױער, אין אַ טלית זיך אײנגעװיקעלט, און האַלט ערשט בײ „מה טובו".|דער הימעל װערט רױער, אין אַ טלית זיך אײנגעװיקעלט, און האַלט ערשט בײ „מה טובו".
ashtetl-2290|די הײזלעך שטײגען און שײען זיך אָב אַלץ בולט'ער פון גרױסען שטח.|די הײזלעך שטײגען און שײען זיך אָב אַלץ בולט'ער פון גרױסען שטח.
ashtetl-2291|דאָ און אָרט פערלעשען זיך שױן די ליכטלעך אין די פענסטער, און װי זײ װאָלען פון זיך אַ סוד אַראָבגעװאָרפען, שטעהען זײ, װי אָנגעקומענע פּון אַן אַנדעע װעלט, מיט אונטערטהעניגקײט : אָ אַזױ זײנען מיר, אַרױ װי איהר זעהט אונז!|דאָ און אָרט פערלעשען זיך שױן די ליכטלעך אין די פענסטער, און װי זײ װאָלען פון זיך אַ סוד אַראָבגעװאָרפען, שטעהען זײ, װי אָנגעקומענע פּון אַן אַנדעע װעלט, מיט אונטערטהעניגקײט : אָ אַזױ זײנען מיר, אַרױ װי איהר זעהט אונז!
ashtetl-2292|מורים, בעלי-בת'ישע קינדער אין װאַרימע אלע'ען, מיט די עילין-זעקלעך געהען אין בית-המדרש אַרײן לערנען.|מורים, בעלי-בת'ישע קינדער אין װאַרימע אלע'ען, מיט די עילין-זעקלעך געהען אין בית-המדרש אַרײן לערנען.
ashtetl-2293|ס'איז שױן גרױסער מאָג, און פון בית-המדרש שײנען נאָך אַלץ אַרױס אָנגעצונענע כט.|ס'איז שױן גרױסער מאָג, און פון בית-המדרש שײנען נאָך אַלץ אַרױס אָנגעצונענע כט.
ashtetl-2294|עס ערט זיך לערנען, דאַװנען, — װאַרים מוז אינעװײניק|עס ערט זיך לערנען, דאַװנען, — װאַרים מוז אינעװײניק
ashtetl-2295|זײן..|זײן..
ashtetl-2296|איבער די דעכער, איבער די פּלױטען ליעגט פעריכט ר װײסער מאָרגען-טױ, פריש, קאַלט און שנײדט פון דערװײטען — דער ערשטער װינטער-הױך.|איבער די דעכער, איבער די פּלױטען ליעגט פעריכט ר װײסער מאָרגען-טױ, פריש, קאַלט און שנײדט פון דערװײטען — דער ערשטער װינטער-הױך.
ashtetl-2297|פון טהײל קױמענס געהט אַ רױך אָרױס : אַ יודענע קאָכט שױן דאָס אָנבײסען — דעם יעסענדיגען קרױטבאָרשטש מיט קאַרטאָפליעס, און איבער'ן שטעדטעל פערגרױ.ט זיך אַ קאַלטער תּחינה-טאָג...|פון טהײל קױמענס געהט אַ רױך אָרױס : אַ יודענע קאָכט שױן דאָס אָנבײסען — דעם יעסענדיגען קרױטבאָרשטש מיט קאַרטאָפליעס, און איבער'ן שטעדטעל פערגרױ.ט זיך אַ קאַלטער תּחינה-טאָג...
ashtetl-2298|טהײלמאָל האָט זיך די זון פּלוצלונג אין הימעל ענטפּלעקט, ר פון דער העלער הױט ארױסגעקראָכען, װי דעם חג עפּעס אָפּגע'מר'ט.|טהײלמאָל האָט זיך די זון פּלוצלונג אין הימעל ענטפּלעקט, ר פון דער העלער הױט ארױסגעקראָכען, װי דעם חג עפּעס אָפּגע'מר'ט.
ashtetl-2299|אַ מינוט האָט מען זיך אין האַרצען האָפנונג געפיהלט.|אַ מינוט האָט מען זיך אין האַרצען האָפנונג געפיהלט.
ashtetl-2300|גאלד אָבער האָט אַ װינד אין מאַרק געבלאָזען, געכאַפּט דאָס ביסעלע שטױב מיט די ר שטרױען, װאָס די דאָרפס-פוהרען האָבען אין מאַרק איבערגער לאָזט, מיט נאָך שעכטעס און לאַכטעס, װאָס דער גוטער יאָהר װײסט זײ, פון װאַנען זײ האָבען זיך אין מאַרק פדבלאָנחעט, און דער װינד האָט מיט זײ אַ טענצעל אין קאָן געמאַכט.|גאלד אָבער האָט אַ װינד אין מאַרק געבלאָזען, געכאַפּט דאָס ביסעלע שטױב מיט די ר שטרױען, װאָס די דאָרפס-פוהרען האָבען אין מאַרק איבערגער לאָזט, מיט נאָך שעכטעס און לאַכטעס, װאָס דער גוטער יאָהר װײסט זײ, פון װאַנען זײ האָבען זיך אין מאַרק פדבלאָנחעט, און דער װינד האָט מיט זײ אַ טענצעל אין קאָן געמאַכט.
ashtetl-2301|האָס שדיסשענצעל האָט אין פּנים װי מיט ריטער פון אַ בעזים געשניטען, און װי אאַ געזש האָט עס אין האַרץ יעדעס שטיקעל האָפנונג אױסגשעהר.|האָס שדיסשענצעל האָט אין פּנים װי מיט ריטער פון אַ בעזים געשניטען, און װי אאַ געזש האָט עס אין האַרץ יעדעס שטיקעל האָפנונג אױסגשעהר.
ashtetl-2302|די סוכות שטעהען נאָך פון נעכטען, דער װינד נעהמט אַ ביסל סכך אַראָב און טראָגט עס אין מאַרק, און װי פעשעהמט בלײבען זײ שטעהן, די סוכות, בגלױ ראש, גאָרנישט — פיער לײרגע װענד, צוזאַמענגעקלאַפּט פון העלצלעך און ברעטלעך, אָהן אַ דאַך, אָהן אַ שטיקעל סכך, צו װאָס?|די סוכות שטעהען נאָך פון נעכטען, דער װינד נעהמט אַ ביסל סכך אַראָב און טראָגט עס אין מאַרק, און װי פעשעהמט בלײבען זײ שטעהן, די סוכות, בגלױ ראש, גאָרנישט — פיער לײרגע װענד, צוזאַמענגעקלאַפּט פון העלצלעך און ברעטלעך, אָהן אַ דאַך, אָהן אַ שטיקעל סכך, צו װאָס?
ashtetl-2303|און צו װען?|און צו װען?
ashtetl-2304|אַ שעהן פּנים האָט דאָס!|אַ שעהן פּנים האָט דאָס!
ashtetl-2305|און די דרײ בױמער אין דער יודישער גאַס שטעהען אײנגעטונקט אין זײערע אָבגעװעלקטע בלעטער.|און די דרײ בױמער אין דער יודישער גאַס שטעהען אײנגעטונקט אין זײערע אָבגעװעלקטע בלעטער.
ashtetl-2306|די בױמער מיט די נאַקעטע צװײגען קוקען שטום און טױט, ברײט און װײט אין מאַרק אַרײן.|די בױמער מיט די נאַקעטע צװײגען קוקען שטום און טױט, ברײט און װײט אין מאַרק אַרײן.
ashtetl-2307|טהײלמאָל זײנען זײ, װי עפּעס מסכים אױף װאָס, שאָקלען צו מיט אַ נאַקעטער צװײג, װאָס האַלט נאָך אַ בלעטעל אױף איהר שפּיץ — א זבר פון זומער : אַזױ, אַזױ, מײנע קינדערלעך!|טהײלמאָל זײנען זײ, װי עפּעס מסכים אױף װאָס, שאָקלען צו מיט אַ נאַקעטער צװײג, װאָס האַלט נאָך אַ בלעטעל אױף איהר שפּיץ — א זבר פון זומער : אַזױ, אַזױ, מײנע קינדערלעך!
ashtetl-2308|נעכטען איז שמחת-תורה געװען, און אָן אַלץ האָט מען געהאַט פערגעסען ; אַ מאָל אין יאָהר פרעהליך זײן — איז ען פעהליך געװען.|נעכטען איז שמחת-תורה געװען, און אָן אַלץ האָט מען געהאַט פערגעסען ; אַ מאָל אין יאָהר פרעהליך זײן — איז ען פעהליך געװען.
ashtetl-2309|האַלב-שכור האָט ען זיך שלאָפען געלעגט, האָט מען זיך אױפגעכאפּט איז הר פריה, האָט עס פון די בּעטען געהױבען.|האַלב-שכור האָט ען זיך שלאָפען געלעגט, האָט מען זיך אױפגעכאפּט איז הר פריה, האָט עס פון די בּעטען געהױבען.
ashtetl-2310|— איבּער יום-טוב האָט אַ יודישער קרעמער דאָס ביסעל מעהל פון זעקעל|— איבּער יום-טוב האָט אַ יודישער קרעמער דאָס ביסעל מעהל פון זעקעל
ashtetl-2311|אױפגעגעסען, בײ אַ יודישען בעל-מלאכה איז דאָס העמעריל מיט דער צװאַנג ערגעץ-װוּ פערפאַלען געװאָרען...|אױפגעגעסען, בײ אַ יודישען בעל-מלאכה איז דאָס העמעריל מיט דער צװאַנג ערגעץ-װוּ פערפאַלען געװאָרען...
ashtetl-2312|מען איז אין מאַרק געקומען מיט די שטעקעלעך, מוכן ומזומן אַ גראָשען געלר צו פערדיענען.|מען איז אין מאַרק געקומען מיט די שטעקעלעך, מוכן ומזומן אַ גראָשען געלר צו פערדיענען.
ashtetl-2313|דער װינד בלאָזט.|דער װינד בלאָזט.
ashtetl-2314|אַ „בעל-יכול" דרעהט זיך אין מאַרק אַרום, אַרײנגעקראָכען און צולעגט זיך אין זײן שאָפּען-פּעלץ, אײנער נאָך אין זײן יום-טוב'דינען, זײדענעם הוט (דער װאָכענדיגער איז איהם ערגעץ-װוּ איבער יום-טוב פערפאַלען געװאָרען).|אַ „בעל-יכול" דרעהט זיך אין מאַרק אַרום, אַרײנגעקראָכען און צולעגט זיך אין זײן שאָפּען-פּעלץ, אײנער נאָך אין זײן יום-טוב'דינען, זײדענעם הוט (דער װאָכענדיגער איז איהם ערגעץ-װוּ איבער יום-טוב פערפאַלען געװאָרען).
ashtetl-2315|יודען דרעהען זיך אַרום, קוקען אױס אױף אַ פוהר װי אױף משיח'ן.|יודען דרעהען זיך אַרום, קוקען אױס אױף אַ פוהר װי אױף משיח'ן.
ashtetl-2316|אײנער איז אױפ'ן צװײטען ברוגז, פון דערװײטען, פאַר גאָרנישט אין דער װעלט...|אײנער איז אױפ'ן צװײטען ברוגז, פון דערװײטען, פאַר גאָרנישט אין דער װעלט...
ashtetl-2317|אױף דער שװעל פון ר' לײביש עפּשטײן'ס געװעלביל שטעהען מעקלערס, פריהרען אין די כאלאטלעך, עס הײסט, װי זײ האָבען שױן גאָרנישט װאָס מעהר צו טון.|אױף דער שװעל פון ר' לײביש עפּשטײן'ס געװעלביל שטעהען מעקלערס, פריהרען אין די כאלאטלעך, עס הײסט, װי זײ האָבען שױן גאָרנישט װאָס מעהר צו טון.
ashtetl-2318|דער „בעל-יכול" קױפט אַ רעטעך אין גאַס בײ די שטעלען צום מיטאָג.|דער „בעל-יכול" קױפט אַ רעטעך אין גאַס בײ די שטעלען צום מיטאָג.
ashtetl-2319|יודען קוקען איהם נאָך און קרעכצען, טײטען אױף איהם מיט די פינגער, אַלע קלעהרען איצט אײן געדאַנק : נאָר ער אַלײן װעט הײנט מיטאָג עסען...|יודען קוקען איהם נאָך און קרעכצען, טײטען אױף איהם מיט די פינגער, אַלע קלעהרען איצט אײן געדאַנק : נאָר ער אַלײן װעט הײנט מיטאָג עסען...
ashtetl-2320|אין געסעל דערהערט זיך אַ גערודער.|אין געסעל דערהערט זיך אַ גערודער.
ashtetl-2321|דער סטראַזשניק שלעפּט צװײ לײכטערלעך מיט די שבת-קאָלדרעס פאַר פּאָדאַטקעס, אַ יודענע לױפט נאָך, בעט זיך, — דער סטראַזשניק הערט נישט.|דער סטראַזשניק שלעפּט צװײ לײכטערלעך מיט די שבת-קאָלדרעס פאַר פּאָדאַטקעס, אַ יודענע לױפט נאָך, בעט זיך, — דער סטראַזשניק הערט נישט.
ashtetl-2322|יודען ציטערען אין די לײכטע כאַלאַטלעך, און עס קלאַפּט אין די הערצער : אױ, אױ, דירה-געלד...|יודען ציטערען אין די לײכטע כאַלאַטלעך, און עס קלאַפּט אין די הערצער : אױ, אױ, דירה-געלד...
ashtetl-2323|קינדער געהען נישט אין חדר אַרײן.|קינדער געהען נישט אין חדר אַרײן.
ashtetl-2324|פון אַלטען חדר אַרױס און אין נײעם נאָך נישט אַרײן, דרעהט מען זיך דערװײל פּוסט און פּאַס אַרום, און מען װאַרפט זיך דער מאַמען אין די אױגען.|פון אַלטען חדר אַרױס און אין נײעם נאָך נישט אַרײן, דרעהט מען זיך דערװײל פּוסט און פּאַס אַרום, און מען װאַרפט זיך דער מאַמען אין די אױגען.
ashtetl-2325|די מאַמעס שילטען, כאַפּט מען אַ שטיק ברױט אין קעשענע אַרײן און מען לאָזט זיך.|די מאַמעס שילטען, כאַפּט מען אַ שטיק ברױט אין קעשענע אַרײן און מען לאָזט זיך.
ashtetl-2326|אין קצב'ישען געסיל זײנען אױסגעשפּרײט פּעלצעןפעלכלעך צו טריקענען זיך אױף דער זון.|אין קצב'ישען געסיל זײנען אױסגעשפּרײט פּעלצעןפעלכלעך צו טריקענען זיך אױף דער זון.
ashtetl-2327|אױף לאַנגע זעק איז פער-י שפּרײט װינטער-אױבס, עפּעל, פלױמען, כאַפּט מען הענד פלױמען און מען לױפט אין שטאָדט-פעלד אַראָב, װוּ די בהמות פיטערען זיך.|אױף לאַנגע זעק איז פער-י שפּרײט װינטער-אױבס, עפּעל, פלױמען, כאַפּט מען הענד פלױמען און מען לױפט אין שטאָדט-פעלד אַראָב, װוּ די בהמות פיטערען זיך.
ashtetl-2328|אַ שװערער טױ הױערט אױף אַלעס, נאָר עס שאַדט ניא, מען נעהמט צוזאַמען צװײגען, שטענגלעך פון טערקישען װײץ, איבעתעבליעען סכך און מען מאַכט פײער, מען בראָט קאַרטאָפעל, מען זעצט זיך אַרום און מען פלעכט לולב-פינגערלעך (אַװעקגע'גנב'עט פון איבער|אַ שװערער טױ הױערט אױף אַלעס, נאָר עס שאַדט ניא, מען נעהמט צוזאַמען צװײגען, שטענגלעך פון טערקישען װײץ, איבעתעבליעען סכך און מען מאַכט פײער, מען בראָט קאַרטאָפעל, מען זעצט זיך אַרום און מען פלעכט לולב-פינגערלעך (אַװעקגע'גנב'עט פון איבער
ashtetl-2329|געבליבענעם לולב).|געבליבענעם לולב).
ashtetl-2330|דער רױך פון פײער געהט אױף און לעגט זיך שװאַרץ איבער'ן שטעדטעל, קינדער האָבען דאָס שטעדטעל אײנגענומען...|דער רױך פון פײער געהט אױף און לעגט זיך שװאַרץ איבער'ן שטעדטעל, קינדער האָבען דאָס שטעדטעל אײנגענומען...
ashtetl-2331|מלמדים דרעהען זיך אין מאַרק אַרום, חנפ'נען די אָריש בעלי בתים.|מלמדים דרעהען זיך אין מאַרק אַרום, חנפ'נען די אָריש בעלי בתים.
ashtetl-2332|אָנגעגעסענע טאַטעס האָרכען אױס די גוטע רײד און שאָקלען צו מיט'ן קאָפּ...|אָנגעגעסענע טאַטעס האָרכען אױס די גוטע רײד און שאָקלען צו מיט'ן קאָפּ...
ashtetl-2333|בחורים קומען אָן צופאָרען פון דער פרעמד מיט די קעסטלעך אױף די פּלײצעס און נײע קאַפּאָטעס (געמאַכט אױף יוםטוב), געהען אין די הײזער ארום, שאַפען זיך טע.|בחורים קומען אָן צופאָרען פון דער פרעמד מיט די קעסטלעך אױף די פּלײצעס און נײע קאַפּאָטעס (געמאַכט אױף יוםטוב), געהען אין די הײזער ארום, שאַפען זיך טע.
